municipio,trimestre,Nivel de Instrução,quantidade de escolaridade
Porto Velho (RO),2º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Ensino médio completo ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Ensino superior completo ou equivalente,0.0
Porto Velho (RO),2º trimestre 2021,Não determinado,0.0
Porto Velho (RO),3º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Porto Velho (RO),3º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Ensino médio completo ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Ensino superior completo ou equivalente,0.0
Porto Velho (RO),3º trimestre 2021,Não determinado,0.0
Porto Velho (RO),4º trimestre 2021,Sem instrução e menos de 1 ano de estudo,0.0
Porto Velho (RO),4º trimestre 2021,Ensino fundamental incompleto ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Ensino fundamental completo ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Ensino médio incompleto ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Ensino médio completo ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Ensino superior incompleto ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Ensino superior completo ou equivalente,0.0
Porto Velho (RO),4º trimestre 2021,Não determinado,0.0
Porto Velho (RO),1º trimestre 2022,Sem instrução e menos de 1 ano de estudo,0.0
Porto Velho (RO),1º trimestre 2022,Ensino fundamental incompleto ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Ensino fundamental completo ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Ensino médio incompleto ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Ensino médio completo ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Ensino superior incompleto ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Ensino superior completo ou equivalente,0.0
Porto Velho (RO),1º trimestre 2022,Não determinado,0.0
Porto Velho (RO),2º trimestre 2022,Sem instrução e menos de 1 ano de estudo,25.0
Porto Velho (RO),2º trimestre 2022,Ensino fundamental incompleto ou equivalente,98.0
Porto Velho (RO),2º trimestre 2022,Ensino fundamental completo ou equivalente,29.0
Porto Velho (RO),2º trimestre 2022,Ensino médio incompleto ou equivalente,41.0
Porto Velho (RO),2º trimestre 2022,Ensino médio completo ou equivalente,153.0
Porto Velho (RO),2º trimestre 2022,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),2º trimestre 2022,Ensino superior completo ou equivalente,70.0
Porto Velho (RO),2º trimestre 2022,Não determinado,0.0
Porto Velho (RO),3º trimestre 2022,Sem instrução e menos de 1 ano de estudo,26.0
Porto Velho (RO),3º trimestre 2022,Ensino fundamental incompleto ou equivalente,103.0
Porto Velho (RO),3º trimestre 2022,Ensino fundamental completo ou equivalente,29.0
Porto Velho (RO),3º trimestre 2022,Ensino médio incompleto ou equivalente,43.0
Porto Velho (RO),3º trimestre 2022,Ensino médio completo ou equivalente,149.0
Porto Velho (RO),3º trimestre 2022,Ensino superior incompleto ou equivalente,22.0
Porto Velho (RO),3º trimestre 2022,Ensino superior completo ou equivalente,73.0
Porto Velho (RO),3º trimestre 2022,Não determinado,0.0
Porto Velho (RO),4º trimestre 2022,Sem instrução e menos de 1 ano de estudo,32.0
Porto Velho (RO),4º trimestre 2022,Ensino fundamental incompleto ou equivalente,96.0
Porto Velho (RO),4º trimestre 2022,Ensino fundamental completo ou equivalente,31.0
Porto Velho (RO),4º trimestre 2022,Ensino médio incompleto ou equivalente,43.0
